serial,team_serial,player_serial,team,team_,player,birth_weekday,birth_monthday,birth_month,birth_year, age ,club,height,foot,international_matches,goals,debut,market_value_euro,market_value ,value,position,is_foreigner,team_country,squad_size,average_age,foreigners,confederation,FIFA_world_ranking,total_value_euro,total_value, team_value 
220,9,18,Lebanon,Lebanon,Hassan Chaito,Sunday,20,3,1989,32,Al-Nejmeh,182,-,58,6,"Nov 15, 2011",€150Th.," $170,000 ",150000,Attacking Midfield,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
221,9,19,Lebanon,Lebanon,Soony Saad,Tuesday,17,8,1992,29,Al-Wehdat,182,right,10,3,"May 29, 2013",€250Th.," $283,000 ",250000,Left Winger,1,Jordan,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
222,9,20,Lebanon,Lebanon,Hassan Maatouk,Sunday,10,8,1987,34,Al-Ansar,172,both,65,17,"Jan 27, 2006",€150Th. ," $170,000 ",150000,Left Winger,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
223,9,21,Lebanon,Lebanon,Rabih Ataya,Friday,16,7,1989,32,Kedah Darul Aman FC,174,left,18,4,"May 11, 2012",€325Th.," $367,000 ",325000,Right Winger,1,Malaysia,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
224,9,22,Lebanon,Lebanon,Hilal El-Helwe,Friday,24,11,1994,26,Al-Ahed,187,both,30,9,"Oct 8, 2015",€250Th. ," $283,000 ",250000,Centre-Forward,0,-,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
225,9,23,Lebanon,Lebanon,Omar Bugiel,Wednesday,3,1,1994,27,Sutton United,185,right,7,1,"Nov 9, 2017",_, - ,,Centre-Forward,1,England,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
226,9,24,Lebanon,Lebanon,Hady Ghandour,Friday,27,1,2000,21,Maidstone United,189,-,,,-,_, - ,,Centre-Forward,1,England,24,27.4,8,AFC,_,€3.58m,$3.6m,"3,580,000"
227,10,1,Libya,Libya,Mohamed Nashnush,Sunday,14,6,1988,33,Al-Ahly Tripoli,190,-,53,,"Jun 5, 2011",€150Th.  ," $170,000 ",150000,Goalkeeper,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
228,10,2,Libya,Libya,Murad Al Wuheeshi,Tuesday,28,2,1997,24,Al-Ahli Benghazi,,-,,,-,_, - ,,Goalkeeper,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
229,10,3,Libya,Libya,Muad Allafi,Friday,15,5,2000,21,Al-Ittihad Tripoli,,-,,,-,_, - ,,Goalkeeper,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
230,10,4,Libya,Libya,Ali Youssef,Saturday, -   ,1,-,0,-,,-,,,-,_, - ,,Defence,1,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
231,10,5,Libya,Libya,Sanad Al Warfali,Monday,17,5,1992,29,Al-Ittihad Tripoli,186,left,21,1,"Oct 19, 2015",€600Th.  ," $678,000 ",600000,Centre-Back,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
232,10,6,Libya,Libya,Ali Salama,Saturday,18,9,1987,34,Al-Madina Tripoli,,-,49,1,"Jan 6, 2010",€150Th.  ," $170,000 ",150000,Centre-Back,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
233,10,7,Libya,Libya,Ahmed El Trbi,Thursday,6,6,1992,29,Kazma SC,182,right,45,,"Mar 24, 2013",€50Th.  ," $57,000 ",50000,Centre-Back,1,Kuwait,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
234,10,8,Libya,Libya,Salah Fakroun,Friday,8,2,1999,22,Al-Nasr Benghazi,180,-,,,-,_, - ,,Centre-Back,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
235,10,9,Libya,Libya,Mohamed El-Munir,Tuesday,8,4,1992,29,Al-Ittihad Tripoli,177,left,19,3,"Oct 14, 2012",€500Th.  ," $565,000 ",500000,Left-Back,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
236,10,10,Libya,Libya,Motasem Sabbou,Saturday,20,8,1993,28,Al-Ittihad Tripoli,183,left,29,2,"Mar 24, 2013",€450Th.  ," $509,000 ",450000,Left-Back,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
237,10,11,Libya,Libya,Abdalla Sherif,Sunday,18,7,1996,25,Al-Nasr Benghazi,,-,,,-,_, - ,,Right-Back,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
238,10,12,Libya,Libya,Tahir Bin Amir,Friday,16,4,2000,21,Al-Ahli Benghazi,,-,,,-,_, - ,,Right-Back,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
239,10,13,Libya,Libya,Mohammed Al Tuhami,Friday,31,5,1992,29,Al-Nasr Benghazi,,-,,,-,_, - ,,midfield,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
240,10,14,Libya,Libya,Mouad Eissa,Thursday,8,5,1999,22,Al-Ittihad Tripoli,,-,1,,-,_, - ,,midfield,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
241,10,15,Libya,Libya,Al Musrati,Saturday,6,4,1996,25,SC Braga,189,right,27,2,"Jan 13, 2014",€12.00m  , $13.6m ,12000000,Defensive Midfield,1,Portugal,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
242,10,16,Libya,Libya,Faisal Al-Badri,Tuesday,4,6,1990,31,Al-Hilal Benghazi,,-,43,9,"Dec 11, 2011",€150Th.  ," $170,000 ",150000,Central Midfield,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
243,10,17,Libya,Libya,Abdalla Abdelrhman,Saturday,22,1,1997,24,Al-Ahly Tripoli,,-,1,,"Nov 17, 2018",_, - ,,Central Midfield,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
244,10,18,Libya,Libya,Alsanousi Ammar,Sunday,26,2,1994,27,Al Arabi SC Kuwait,,-,2,,"Jan 8, 2017",_, - ,,Central Midfield,1,Kuwait,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
245,10,19,Libya,Libya,Abdussalam Tubal,Thursday,23,6,1993,28,Al-Ahly Tripoli,178,left,21,,"May 18, 2014",€425Th.  ," $480,000 ",425000,Left Midfield,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
246,10,20,Libya,Libya,Noor Aldeen Al Qulaib,Saturday, -   ,1,-,0,-,,-,,,-,_, - ,,Attack,1,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
247,10,21,Libya,Libya,Omar Al Khouja,Thursday,1,3,2000,21,Al-Ittihad Tripoli,,-,,,-,_, - ,,Attack,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
248,10,22,Libya,Libya,Hamdou Elhouni,Wednesday,12,2,1994,27,Esperance Tunis,169,right,23,3,"May 18, 2014",€1.10m  , $1.2m ,1100000,Left Winger,1,Tunisia,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
249,10,23,Libya,Libya,Mohammed Sawlah,Friday,29,6,1993,28,Club Sportif Sfaxien,184,left,6,,"Jun 3, 2016",€700Th.  ," $791,000 ",700000,Left Winger,1,Tunisia,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
250,10,24,Libya,Libya,Mohammed Al-Tarhouni,Thursday,10,7,1991,30,Ismaily SC,180,left,6,,"Nov 15, 2013",€200Th.  ," $226,000 ",200000,Left Winger,1,Egypt,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
251,10,25,Libya,Libya,Muaid Ellafi,Thursday,7,3,1996,25,Wydad Casablanca,169,right,14,2,"Sep 7, 2014",€1.00m  , $1.1m ,1000000,Right Winger,1,Morocco,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
252,10,26,Libya,Libya,Mohamed Anis Saltou,Sunday,1,4,1992,29,FUS Rabat,197,right,11,4,"Aug 14, 2013",€350Th.  ," $396,000 ",350000,Centre-Forward,1,Morocco,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
253,10,27,Libya,Libya,Mohamed Zaabia,Sunday,20,3,1989,32,Al-Ittihad Tripoli,187,right,18,6,"Jun 1, 2008",€300Th. ," $339,000 ",300000,Centre-Forward,0,-,27,27.4,10,CAF,112,€17.83m,$17.8m,"17,830,000"
254,11,1,Mauritania,Mauritania,Namori Diaw,Monday,30,12,1994,26,ASC Kédia Zouerate,,-,13,,"Mar 24, 2018",€50Th.  ," $57,000 ",50000,Goalkeeper,0,-,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
255,11,2,Mauritania,Mauritania,Babacar Diop,Friday,17,9,1995,26,FC Nouadhibou,185,left,2,,"Mar 26, 2019",€50Th.  ," $57,000 ",50000,Goalkeeper,0,-,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
256,11,3,Mauritania,Mauritania,Mbacké Ndiaye,Sunday,19,12,1994,26,Nouakchott King's,,-,,,-,_, - ,,Goalkeeper,0,-,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
257,11,4,Mauritania,Mauritania,Mohamed El Mokhtar,Friday,10,10,2002,19,Academie de Football Nouakchott,184,-,,,-,_, - ,,Goalkeeper,0,-,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
258,11,5,Mauritania,Mauritania,Mohamedhen Beibou,Thursday,5,12,1995,25,FC Nouadhibou,175,-,1,,"Sep 3, 2021",_, - ,,Defence,0,-,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
259,11,6,Mauritania,Mauritania,Sid Ahmed Rachid,Tuesday,31,12,1998,22,Nouakchott King's,,-,5,,"Jul 27, 2019",_, - ,,Defence,0,-,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
260,11,7,Mauritania,Mauritania,Bakary N'Diaye,Sunday,26,11,1998,22,AS Rodos,185,right,29,1,"May 28, 2016",€325Th.  ," $367,000 ",325000,Centre-Back,1,Greece,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
261,11,8,Mauritania,Mauritania,Abdoul Ba,Friday,8,2,1994,27,Al-Ahly Tripoli,203,left,41,,"Sep 8, 2013",€250Th.  ," $283,000 ",250000,Centre-Back,1,Libya,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
262,11,9,Mauritania,Mauritania,Diadié Diarra,Sunday,23,1,1993,28,Grand Ouest Association Lyonnaise FC,180,right,10,,"Jan 7, 2017",€100Th.  ," $113,000 ",100000,Centre-Back,1,France,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
263,11,10,Mauritania,Mauritania,Hassan Houbeib,Thursday,31,10,1993,28,Al-Zawraa SC,,-,2,,"Jul 27, 2019",_, - ,,Centre-Back,1,Iraq,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
264,11,11,Mauritania,Mauritania,Houssen Abderrahmane,Saturday,3,2,1995,26,Royal Francs Borains,,left,12,,"Oct 6, 2016",€50Th.  ," $57,000 ",50000,Left-Back,1,Belgium,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
265,11,12,Mauritania,Mauritania,Harouna Abou Demba,Tuesday,31,12,1991,29,Without Club,178,right,15,,"Oct 6, 2016",€300Th.  ," $339,000 ",300000,Right-Back,1,-,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
266,11,13,Mauritania,Mauritania,Moustapha Diaw,Tuesday,31,12,1996,24,Manama Club,168,right,40,1,"Mar 27, 2015",€150Th.  ," $170,000 ",150000,Right-Back,1,Bahrain,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
267,11,14,Mauritania,Mauritania,Almike Moussa N'Diaye,Thursday,26,10,1996,25,Grand Ouest Association Lyonnaise FC,,-,2,,"Oct 9, 2020",_, - ,,midfield,1,France,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
268,11,15,Mauritania,Mauritania,Ibréhima Coulibaly,Friday,30,8,1989,32,Le Mans FC,183,right,12,,"Mar 26, 2019",€300Th.  ," $339,000 ",300000,Defensive Midfield,1,France,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
269,11,16,Mauritania,Mauritania,Khassa Camara,Saturday,22,10,1992,29,NorthEast United FC,175,right,43,2,"Sep 8, 2013",€275Th.  ," $311,000 ",275000,Defensive Midfield,1,India,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
270,11,17,Mauritania,Mauritania,Yali Dellahi,Thursday,1,11,1997,24,Al-Nasr Benghazi,183,right,41,2,"Jun 21, 2015",€200Th.  ," $226,000 ",200000,Defensive Midfield,1,Libya,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
271,11,18,Mauritania,Mauritania,Abdoulaye Ousmane,Tuesday,22,2,2000,21,Without Club,183,right,1,,"Mar 26, 2021",€150Th.  ," $170,000 ",150000,Defensive Midfield,1,-,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
272,11,19,Mauritania,Mauritania,Alassane Diop,Thursday,22,9,1997,24,Isa Town FC,183,right,13,,"Oct 12, 2018",€75Th.  ," $85,000 ",75000,Defensive Midfield,1,Bahrain,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
273,11,20,Mauritania,Mauritania,Sidi Yacoub,Wednesday,10,12,1995,25,AS Vita Club Kinshasa,188,right,3,,"Sep 21, 2019",_, - ,,Defensive Midfield,1,DR Congo,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
274,11,21,Mauritania,Mauritania,Abdallahi Mahmoud,Saturday,4,5,2000,21,NK Istra 1961,187,-,6,,"Sep 8, 2018",€300Th.  ," $339,000 ",300000,Central Midfield,1,Croatia,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
275,11,22,Mauritania,Mauritania,El Hacen,Tuesday,31,12,1997,23,Real Valladolid CF,181,right,47,9,"Mar 2, 2013",€200Th.  ," $226,000 ",200000,Central Midfield,1,Spain,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
276,11,23,Mauritania,Mauritania,Mouhamed Soueid,Tuesday,31,12,1991,29,FC Nouadhibou,,-,4,,"Jan 7, 2017",_, - ,,Attack,0,-,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
277,11,24,Mauritania,Mauritania,Oumar Camara,Thursday,19,8,1992,29,PFC Beroe Stara Zagora,186,left,3,,"Jun 11, 2021",€300Th.  ," $339,000 ",300000,Left Winger,1,Bulgaria,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
278,11,25,Mauritania,Mauritania,Ismail Diakite,Sunday,13,12,1991,29,Club Sportif Sfaxien,174,right,55,8,"May 31, 2008",€450Th.  ," $509,000 ",450000,Right Winger,1,Tunisia,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
279,11,26,Mauritania,Mauritania,Adama Ba,Sunday,27,8,1993,28,Renaissance de Berkane,179,right,33,6,"Sep 8, 2013",€250Th.  ," $283,000 ",250000,Right Winger,1,Morocco,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
280,11,27,Mauritania,Mauritania,Aboubakar Kamara,Thursday,7,3,1995,26,Aris Thessaloniki,177,right,4,1,"Mar 26, 2021",€3.50m  , $4m ,3500000,Centre-Forward,1,Greece,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
281,11,28,Mauritania,Mauritania,Mamadou Ndioko Niass,Tuesday,4,6,1994,27,El Mokawloon SC,180,right,30,4,"Feb 27, 2013",€150Th.  ," $170,000 ",150000,Centre-Forward,1,Egypt,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
282,11,29,Mauritania,Mauritania,Hemeya Tanjy,Tuesday,1,5,1998,23,FC Nouadhibou,,-,15,1,"Jan 13, 2018",€50Th.  ," $57,000 ",50000,Centre-Forward,1,-,29,26.2,21,CAF,102,€7.48m,$7.5m,"7,480,000"
283,12,1,Morocco,Morocco,Bono,Friday,5,4,1991,30,Sevilla FC,192,left,26,,"Aug 14, 2013",€18.00m, $20.3m ,18000000,Goalkeeper,1,Spain,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
284,12,2,Morocco,Morocco,Munir,Saturday,10,5,1989,32,Hatayspor,190,right,39,,"Mar 28, 2015",€1.50m, $1.7m ,1500000,Goalkeeper,1,Turkey,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
285,12,3,Morocco,Morocco,Anas Zniti,Sunday,28,10,1988,33,Raja Club Athletic,182,right,4,,"Jan 8, 2013",€1.00m, $1.1m ,1000000,Goalkeeper,0,-,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
286,12,4,Morocco,Morocco,Sami Tlemcani,Monday,21,2,2004,17,Chelsea FC U18,193,right,,,-,_, - ,,Goalkeeper,1,England,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
287,12,5,Morocco,Morocco,Romain Saïss,Sunday,26,3,1990,31,Wolverhampton Wanderers,188,left,43,1,"Nov 14, 2012",€10.00m, $11.3m ,10000000,Centre-Back,1,England,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
288,12,6,Morocco,Morocco,Nayef Aguerd,Saturday,30,3,1996,25,Stade Rennais FC,190,left,8,,"Aug 31, 2016",€8.00m, $9m ,8000000,Centre-Back,1,France,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
289,12,7,Morocco,Morocco,Samy Mmaee,Monday,8,9,1996,25,Ferencvárosi TC,188,right,5,,"Oct 9, 2020",€1.20m, $1.4m ,1200000,Centre-Back,1,Italy,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
290,12,8,Morocco,Morocco,Soufiane Chakla,Sunday,2,9,1993,28,Oud-Heverlee Leuven,188,right,3,,"Mar 30, 2021",€800Th.," $904,000 ",800000,Centre-Back,1,Belgium,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
291,12,9,Morocco,Morocco,Adam Masina,Tuesday,2,1,1994,27,Watford FC,191,left,2,,"Mar 26, 2021",€4.50m, $5.1m ,4500000,Left-Back,1,England,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
292,12,10,Morocco,Morocco,Souffian El Karouani,Tuesday,19,10,2000,21,NEC Nijmegen,178,right,2,,"Oct 9, 2021",€600Th. ," $678,000 ",600000,Left-Back,1,Netherlands,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
293,12,11,Morocco,Morocco,Achraf Hakimi,Monday,4,11,1998,22,Paris Saint-Germain,181,right,36,4,"Oct 11, 2016",€70.00m, $79.1m ,70000000,Right-Back,1,France,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
294,12,12,Morocco,Morocco,Ayoub El Amloud,Tuesday,8,4,1994,27,Wydad Casablanca,177,right,1,,"Jun 8, 2021",€800Th.," $904,000 ",800000,Right-Back,0,-,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
295,12,13,Morocco,Morocco,Sofyan Amrabat,Sunday,21,8,1996,25,ACF Fiorentina,185,right,17,,"Mar 28, 2017",€12.00m , $13.6m ,12000000,Defensive Midfield,1,Italy,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
296,12,14,Morocco,Morocco,Imrân Louza,Tuesday,1,5,1999,22,Watford FC,178,left,3,1,"Oct 6, 2021",€12.00m, $13.6m ,12000000,Central Midfield,1,England,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
297,12,15,Morocco,Morocco,Abdou Harroui,Tuesday,13,1,1998,23,US Sassuolo,182,both,,,-,€3.50m , $4m ,3500000,Central Midfield,1,Italy,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
298,12,16,Morocco,Morocco,Fayçal Fajr,Wednesday,1,8,1988,33,Sivasspor,179,right,40,2,"Nov 15, 2015",€1.80m, $2m ,1800000,Central Midfield,1,Turkey,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
299,12,17,Morocco,Morocco,Selim Amallah,Sunday,15,11,1996,24,Standard Liège,186,right,4,1,"Nov 15, 2019",€6.00m, $6.8m ,6000000,Attacking Midfield,1,Belgium,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
300,12,18,Morocco,Morocco,Ilias Chair,Wednesday,30,10,1997,24,Queens Park Rangers,172,right,2,,"Jun 8, 2021",€4.00m, $4.5m ,4000000,Attacking Midfield,1,England,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
301,12,19,Morocco,Morocco,Aymen Barkok,Saturday,21,5,1998,23,Eintracht Frankfurt,189,right,6,,"Oct 9, 2020",€3.50m, $4m ,3500000,Attacking Midfield,1,Germany,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
302,12,20,Morocco,Morocco,Sofiane Boufal,Friday,17,9,1993,28,SCO Angers,175,right,16,,"Mar 26, 2016",€5.00m, $5.7m ,5000000,Left Winger,1,France,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
303,12,21,Morocco,Morocco,Zakaria Aboukhlal,Thursday,18,2,2000,21,AZ Alkmaar,179,both,5,1,"Nov 13, 2020",€2.50m, $2.8m ,2500000,Left Winger,1,Netherlands,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
304,12,22,Morocco,Morocco,Achraf Bencharki,Sunday,24,9,1994,27,Zamalek SC,176,right,12,1,"Aug 13, 2017",€2.20m, $2.5m ,2200000,Left Winger,1,Egypt,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
305,12,23,Morocco,Morocco,Soufiane Rahimi,Saturday,2,6,1996,25,Al-Ain FC,180,right,2,,"Mar 26, 2021",€1.80m , $2m ,1800000,Left Winger,1,UAE,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
306,12,24,Morocco,Morocco,Youssef En-Nesyri,Friday,1,6,1997,24,Sevilla FC,189,left,35,11,"Aug 31, 2016",€40.00m , $45.2m ,40000000,Centre-Forward,1,Spain,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
307,12,25,Morocco,Morocco,Munir El Haddadi,Saturday,1,9,1995,26,Sevilla FC,175,left,7,2,"Mar 26, 2021",€10.00m, $11.3m ,10000000,Centre-Forward,1,Spain,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
308,12,26,Morocco,Morocco,Ayoub El Kaabi,Sunday,25,6,1993,28,Hatayspor,182,left,10,2,"Jan 13, 2018",€1.90m, $2.1m ,1900000,Centre-Forward,0,-,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
309,12,27,Morocco,Morocco,Ryan Mmaee,Thursday,1,11,1997,24,Ferencvárosi TC,185,right,3,,"Aug 31, 2016",€1.50m, $1.7m ,1500000,Centre-Forward,1,Italy,27,26.2,25,CAF,29,€224.20m,$224.2m,"224,200,000"
310,13,1,Oman,Oman,Faiyz Al-Rusheidi,Monday,19,7,1988,33,Mes Rafsanjan,185,-,53,,-,€325Th.," $367,000 ",325000,Goalkeeper,1,Iran,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
311,13,2,Oman,Oman,Ahmed Al Rawahi,Sunday,5,5,1994,27,Al-Seeb Club,186,-,4,,"Dec 13, 2018",€300Th.," $339,000 ",300000,Goalkeeper,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
312,13,3,Oman,Oman,Ibrahim Al Mukhaini,Monday,20,6,1997,24,Al-Nasr SC (Salalah),,-,,,-,€200Th.," $226,000 ",200000,Goalkeeper,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
313,13,4,Oman,Oman,Juma Al Habsi,Saturday,28,1,1996,25,Al-Seeb Club,,-,7,,-,€325Th. ," $367,000 ",325000,Centre-Back,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
314,13,5,Oman,Oman,Mohammed Al-Maslami,Thursday,27,4,1990,31,Al-Gharafa SC,,-,23,,-,€300Th.," $339,000 ",300000,Centre-Back,1,Qatar,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
315,13,6,Oman,Oman,Khalid Al Braiki,Tuesday,3,7,1993,28,Al-Seeb Club,183,-,14,,"Sep 9, 2018",€225Th. ," $254,000 ",225000,Centre-Back,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
316,13,7,Oman,Oman,Ahmed Al Khamisi,Sunday,26,11,1991,29,Al-Suwaiq Club,,-,2,,-,€100Th. ," $113,000 ",100000,Centre-Back,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
317,13,8,Oman,Oman,Ali Al Busaidi,Friday,21,1,1991,30,Al-Seeb Club,172,left,68,1,"Oct 9, 2013",€350Th.," $396,000 ",350000,Left-Back,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
318,13,9,Oman,Oman,Fahmi Said Rajab Durbein,Friday,10,10,1993,28,Al-Nasr SC (Salalah),,-,13,,-,€300Th. ," $339,000 ",300000,Left-Back,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
319,13,10,Oman,Oman,Abdul Gheilani,Thursday,14,5,1995,26,Al-Seeb Club,168,-,11,,-,€225Th.," $254,000 ",225000,Right-Back,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
320,13,11,Oman,Oman,Abdullah Fawaz,Wednesday,3,10,1996,25,Dhofar Club,,-,10,2,-,€350Th. ," $396,000 ",350000,Central Midfield,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
321,13,12,Oman,Oman,Omar Al Fazari,Wednesday,19,5,1993,28,Al-Suwaiq Club,179,right,6,,"Aug 8, 2016",€175Th.," $198,000 ",175000,Central Midfield,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
322,13,13,Oman,Oman,Mohsin Jouhar,Monday,16,8,1988,33,Oman Club,173,left,52,7,"Dec 31, 2014",€200Th. ," $226,000 ",200000,Left Midfield,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
323,13,14,Oman,Oman,Arshad Al Alawi,Sunday,12,4,2000,21,Al-Seeb Club,,-,5,1,-,€300Th. ," $339,000 ",300000,Attacking Midfield,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
324,13,15,Oman,Oman,Salah Al-Yahyaei,Tuesday,17,8,1998,23,Al-Seeb Club,174,-,20,3,"Aug 31, 2016",€300Th. ," $339,000 ",300000,Attacking Midfield,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
325,13,16,Oman,Oman,Harib Al-Saadi,Thursday,1,2,1990,31,Al-Seeb Club,168,-,43,,"Mar 24, 2016",€300Th. ," $339,000 ",300000,Attacking Midfield,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
326,13,17,Oman,Oman,Ahmed Al-Kaabi,Tuesday,15,9,1996,25,Al-Nahda Club (Oman),,-,,,-,€150Th. ," $170,000 ",150000,Attacking Midfield,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
327,13,18,Oman,Oman,Rabia Al-Alawi,Sunday,31,3,1995,26,Al-Seeb Club,178,-,11,5,"Aug 9, 2018",€250Th.," $283,000 ",250000,Left Winger,0,-,23,27.6,4,AFC,77,€6.10m,$6.1m,"6,100,000"
